Body
Date,Weight,BMI,Fat
"2016-09-01","150.43","23.56","18.145"
"2016-09-02","149.47","23.41","18.145"
"2016-09-03","149.12","23.35","18.168"
"2016-09-04","148.78","23.3","18.191"
"2016-09-05","148.43","23.24","18.216"
"2016-09-06","151.06","23.65","16.691"
"2016-09-07","148.76","23.29","16.245"
"2016-09-08","148.76","23.29","16.314"
"2016-09-09","148.76","23.29","16.383"
"2016-09-10","148.76","23.29","16.452"
"2016-09-11","148.75","23.29","16.521"
"2016-09-12","148.75","23.29","16.59"
"2016-09-13","147.09","23.03","16.662"
"2016-09-14","147.77","23.14","16.188"
"2016-09-15","147.91","23.16","16.017"
"2016-09-16","148.04","23.18","15.846"
"2016-09-17","148.18","23.2","15.675"
"2016-09-18","148.32","23.22","15.504"
"2016-09-19","148.45","23.25","15.333"
"2016-09-20","148.59","23.27","15.162"
"2016-09-21","148.73","23.29","14.991"
"2016-09-22","148.86","23.31","14.82"
"2016-09-23","149","23.33","14.649"
"2016-09-24","149.14","23.35","14.478"
"2016-09-25","149.27","23.37","14.307"
"2016-09-26","149.41","23.4","14.136"
"2016-09-27","149.55","23.42","13.965"
"2016-09-28","149.69","23.44","13.784"
"2016-09-29","146.54","22.95","13.102"
"2016-09-30","146.56","22.95","14.232"

Foods
Date,Calories In
"2016-09-01","0"
"2016-09-02","0"
"2016-09-03","0"
"2016-09-04","0"
"2016-09-05","0"
"2016-09-06","0"
"2016-09-07","0"
"2016-09-08","0"
"2016-09-09","0"
"2016-09-10","0"
"2016-09-11","0"
"2016-09-12","0"
"2016-09-13","0"
"2016-09-14","0"
"2016-09-15","0"
"2016-09-16","0"
"2016-09-17","0"
"2016-09-18","0"
"2016-09-19","0"
"2016-09-20","0"
"2016-09-21","0"
"2016-09-22","0"
"2016-09-23","0"
"2016-09-24","0"
"2016-09-25","0"
"2016-09-26","0"
"2016-09-27","0"
"2016-09-28","0"
"2016-09-29","0"
"2016-09-30","0"

Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2016-09-01","3,429","9,550","3.87","7","452","376","126","32","2,203"
"2016-09-02","2,772","7,872","3.45","5","676","313","9","0","1,276"
"2016-09-03","3,135","12,672","5.56","9","465","447","10","2","1,864"
"2016-09-04","3,210","14,459","6.34","25","577","436","26","9","1,939"
"2016-09-05","2,949","12,375","5.43","9","434","457","0","0","1,767"
"2016-09-06","2,378","7,204","3.16","9","758","262","23","0","1,025"
"2016-09-07","1,961","4,109","1.8","12","1,156","162","0","0","565"
"2016-09-08","2,703","8,266","3.63","10","760","287","46","13","1,416"
"2016-09-09","2,292","5,234","2.3","3","806","263","0","0","891"
"2016-09-10","2,922","10,920","4.79","18","457","442","22","8","1,780"
"2016-09-11","2,874","11,826","5.19","8","505","346","38","29","1,654"
"2016-09-12","2,225","5,617","2.46","14","705","256","0","0","859"
"2016-09-13","2,149","5,605","2.46","9","763","181","26","6","811"
"2016-09-14","2,916","11,195","4.91","8","604","407","25","5","1,707"
"2016-09-15","2,458","6,553","2.87","8","749","277","0","0","1,064"
"2016-09-16","2,728","9,303","4.08","9","675","349","25","0","1,472"
"2016-09-17","2,795","9,248","4.06","6","474","331","56","1","1,556"
"2016-09-18","1,556","309","0.14","0","911","17","0","0","50"
"2016-09-19","2,660","9,860","4.39","7","1,070","309","11","9","1,351"
"2016-09-20","2,599","8,894","3.9","12","579","339","16","1","1,321"
"2016-09-21","2,460","7,802","3.42","8","714","325","0","0","1,159"
"2016-09-22","2,367","6,095","2.67","8","1,130","239","9","0","945"
"2016-09-23","2,588","8,268","3.63","8","676","312","7","1","1,222"
"2016-09-24","1,634","1,595","0.7","7","915","41","0","0","154"
"2016-09-25","1,571","37","0.02","0","1,435","5","0","0","56"
"2016-09-26","1,520","0","0","0","1,440","0","0","0","0"
"2016-09-27","2,801","8,122","3.56","7","996","364","17","5","1,539"
"2016-09-28","2,984","9,261","4.06","6","520","399","45","3","1,800"
"2016-09-29","2,567","8,294","3.64","13","652","361","0","0","1,267"
"2016-09-30","2,759","10,236","4.49","15","609","414","0","0","1,540"

Sleep
Date,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed
"2016-09-01","465","23","1","488"
"2016-09-02","408","31","1","439"
"2016-09-03","462","21","2","483"
"2016-09-04","401","26","1","427"
"2016-09-05","418","22","2","445"
"2016-09-06","465","35","5","500"
"2016-09-07","69","12","0","81"
"2016-09-08","336","34","2","375"
"2016-09-09","338","33","3","371"
"2016-09-10","495","16","2","511"
"2016-09-11","488","23","2","511"
"2016-09-12","396","10","1","406"
"2016-09-13","443","28","1","471"
"2016-09-14","454","21","1","475"
"2016-09-15","319","0","0","321"
"2016-09-16","473","10","1","483"
"2016-09-17","479","38","2","517"
"2016-09-18","547","25","2","572"
"2016-09-19","0","0","0","0"
"2016-09-20","419","22","2","441"
"2016-09-21","495","11","0","506"
"2016-09-22","0","0","0","0"
"2016-09-23","448","21","2","470"
"2016-09-24","482","37","3","519"
"2016-09-25","0","0","0","0"
"2016-09-26","0","0","0","0"
"2016-09-27","0","0","0","0"
"2016-09-28","430","25","2","456"
"2016-09-29","437","38","2","475"
"2016-09-30","396","31","2","427"

Food Log 20160901
Daily Totals
"","Calories","0"
"","Fat","0 g"
"","Fiber","0 g"
"","Carbs","0 g"
"","Sodium","0 mg"
"","Protein","0 g"
"","Water","0 fl oz"

Food Log 20160902
Daily Totals
"","Calories","0"
"","Fat","0 g"
"","Fiber","0 g"
"","Carbs","0 g"
"","Sodium","0 mg"
"","Protein","0 g"
"","Water","0 fl oz"

Food Log 20160903
Daily Totals
"","Calories","0"
"","Fat","0 g"
"","Fiber","0 g"
"","Carbs","0 g"
"","Sodium","0 mg"
"","Protein","0 g"
"","Water","0 fl oz"

Food Log 20160904
Daily Totals
"","Calories","0"
"","Fat","0 g"
"","Fiber","0 g"
"","Carbs","0 g"
"","Sodium","0 mg"
"","Protein","0 g"
"","Water","0 fl oz"

Food Log 20160905
Daily Totals
"","Calories","0"
"","Fat","0 g"
"","Fiber","0 g"
"","Carbs","0 g"
"","Sodium","0 mg"
"","Protein","0 g"
"","Water","0 fl oz"

Food Log 20160906
Daily Totals
"","Calories","0"
"","Fat","0 g"
"","Fiber","0 g"
"","Carbs","0 g"
"","Sodium","0 mg"
"","Protein","0 g"
"","Water","0 fl oz"

Food Log 20160907
Daily Totals
"","Calories","0"
"","Fat","0 g"
"","Fiber","0 g"
"","Carbs","0 g"
"","Sodium","0 mg"
"","Protein","0 g"
"","Water","0 fl oz"

Food Log 20160908
Daily Totals
"","Calories","0"
"","Fat","0 g"
"","Fiber","0 g"
"","Carbs","0 g"
"","Sodium","0 mg"
"","Protein","0 g"
"","Water","0 fl oz"

Food Log 20160909
Daily Totals
"","Calories","0"
"","Fat","0 g"
"","Fiber","0 g"
"","Carbs","0 g"
"","Sodium","0 mg"
"","Protein","0 g"
"","Water","0 fl oz"

Food Log 20160910
Daily Totals
"","Calories","0"
"","Fat","0 g"
"","Fiber","0 g"
"","Carbs","0 g"
"","Sodium","0 mg"
"","Protein","0 g"
"","Water","0 fl oz"

Food Log 20160911
Daily Totals
"","Calories","0"
"","Fat","0 g"
"","Fiber","0 g"
"","Carbs","0 g"
"","Sodium","0 mg"
"","Protein","0 g"
"","Water","0 fl oz"

Food Log 20160912
Daily Totals
"","Calories","0"
"","Fat","0 g"
"","Fiber","0 g"
"","Carbs","0 g"
"","Sodium","0 mg"
"","Protein","0 g"
"","Water","0 fl oz"

Food Log 20160913
Daily Totals
"","Calories","0"
"","Fat","0 g"
"","Fiber","0 g"
"","Carbs","0 g"
"","Sodium","0 mg"
"","Protein","0 g"
"","Water","0 fl oz"

Food Log 20160914
Daily Totals
"","Calories","0"
"","Fat","0 g"
"","Fiber","0 g"
"","Carbs","0 g"
"","Sodium","0 mg"
"","Protein","0 g"
"","Water","0 fl oz"

Food Log 20160915
Daily Totals
"","Calories","0"
"","Fat","0 g"
"","Fiber","0 g"
"","Carbs","0 g"
"","Sodium","0 mg"
"","Protein","0 g"
"","Water","0 fl oz"

Food Log 20160916
Daily Totals
"","Calories","0"
"","Fat","0 g"
"","Fiber","0 g"
"","Carbs","0 g"
"","Sodium","0 mg"
"","Protein","0 g"
"","Water","0 fl oz"

Food Log 20160917
Daily Totals
"","Calories","0"
"","Fat","0 g"
"","Fiber","0 g"
